,address,name,longitude,latitude
154,"['2878 Columbia St', 'Torrance, CA 90503-3808 | Map']",Absolution Brewing Co,0.0,0.0
155,"['7536 Fay Ave', 'La Jolla, CA 92037-4839 | Map']",Absolution By the Sea,0.0,0.0
156,"['115 W 15th St', 'Cheyenne, WY 82001-4564 | Map']",Accomplice Beer Company,0.0,0.0
157,"['211 W Mercer St', 'Dripping Springs, TX 78620-5363 | Map']",Acopon Brewing Co,0.0,0.0
158,"['1795 Hancock St Ste P1', 'San Diego, CA 92110-2006 | Map']",Acoustic Ales Brewing Experiment,0.0,0.0
159,"['655 N James Rd', 'Columbus, OH 43219-1837 | Map']","Actual Brewing Company, LLC",0.0,0.0
160,"['104 N Lewis St', 'Monroe, WA 98272-1502 | Map']",Adam's Northwest Bistro / Twin Rivers Brewing,0.0,0.0
161,"['2314 Rutland Dr Ste 100', 'Austin, TX 78758-5273 | Map']",Adelbert's Brewery LLC,0.0,0.0
162,"['33 Canada St', 'Lake George, NY 12845-1603 | Map']",Adirondack Pub and Brewery,0.0,0.0
163,"['202A W Main St', 'Gouverneur, NY 13642-1334 | Map']",Adirondack Toboggan Company Microbrewery,0.0,0.0
164,"['67 Galli Dr Ste E', 'Novato, CA 94949-5718 | Map']",Adobe Creek Brewing Company,0.0,0.0
165,"['404 Browning Ct Unit C', 'Purcellville, VA 20132-6171 | Map']",Adroit Theory Brewing Company,0.0,0.0
166,"['33 Perchwood Dr Ste 101', 'Fredericksburg, VA 22405-4552 | Map']",Adventure Brewing Co,0.0,0.0
167,"['3300 Dill Smith Dr', 'Fredericksburg, VA 22408-7319 | Map']",Adventure South,0.0,0.0
168,"['117 N Handley St', 'Wichita, KS 67203-6114 | Map']",Aero Plains Brewing,0.0,0.0
169,"['14 Tyler St', 'Somerville, MA 02143-3224 | Map']",Aeronaut Brewing Company,0.0,0.0
170,"['28822 Old Town Front St Ste 107', 'Temecula, CA 92590-2893 | Map']",Aftershock Brewing Co,0.0,0.0
171,"['844 N Ridge Ave', 'Lombard, IL 60148-1215 | Map']",Afterthought Brewing Company,0.0,0.0
172,"['401 E Main St', 'Louisville, KY 40202-1110 | Map']",Against the Grain Brewery,0.0,0.0
173,"['1800 Northwestern Pkwy', 'Louisville, KY 40203 | Map']",Against the Grain Production Facility,0.0,0.0
174,"['31115 W Crossroads Ln', 'Eugene, OR 97408-9220 | Map']","Agrarian Ales, LLC",0.0,0.0
175,"['N9153 Cherry Tree Rd Apt 4', 'Algoma, WI 54201-9501 | Map']",Ahnapee Brewery,0.0,0.0
176,"['250 Commercial St Ste 2001', 'Manchester, NH 03101-1165 | Map']",Aigean Ales,0.0,0.0
177,"['140 Laurens St SW', 'Aiken, SC 29801-3848 | Map']",Aiken Brewing Co,0.0,0.0
178,"['22 Mill Ln', 'Amherst, ME 04428 | Map']",Airline Brewing Company,0.0,0.0
179,"['8611 S 212th St', 'Kent, WA 98031-1910 | Map']",Airways Brewing Co,0.0,0.0
180,"['150 Crane Dr', 'Athens, GA 30606-0600 | Map']",Akademia Brewing Company,0.0,0.0
181,"['909 E Market St Ste 700', 'Louisville, KY 40206-1688 | Map']",Akasha Brewing Company,0.0,0.0
182,"['58 E Market St', 'Akron, OH 4430 | Map']",Akronym Brewing LLC,0.0,0.0
183,"['4765 NE Fremont St', 'Portland, OR 97213-1724 | Map']",Alameda Brewing Co,0.0,0.0
184,"['4736 SE 24th Ave', 'Portland, OR 97202-4787 | Map']",Alameda Brewing Co,0.0,0.0
185,"['1716 Park St', 'Alameda, CA 94501-1416 | Map']",Alameda Island Brewing Company,0.0,0.0
186,"['415 Burnet St', 'San Antonio, TX 78202-1909 | Map']",Alamo Beer Co,0.0,0.0
187,"['4055 W Peterson Ave Ste REAR', 'Chicago, IL 60646-6072 | Map']",Alarmist Brewing Co,0.0,0.0
188,"['2004 Capitol Ave', 'Sacramento, CA 95811 | Map']",Alaro Craft Brewery,0.0,0.0
189,"['11 Benton Ave E', 'Albia, IA 52531-2032 | Map']",Albia Brewing Co,0.0,0.0
190,"['420 S Superior St', 'Albion, MI 49224 | Map']",Albion Malleable Brewing Company,0.0,0.0
191,"['20 Ocean Vista Ln', 'Palm Coast, FL 32137-2743 | Map']",Alcatraz Brewing,0.0,0.0
192,"['555 Centennial Ave', 'Hanover, PA 17331-3936 | Map']",Aldus Brewing Company,0.0,0.0
193,"['San Jose, CA 95118-1605', 'Phone: (408) 390-7574']",Ale House Brewing Co,0.0,0.0
194,"['3096 E 10th St', 'Oakland, CA 94601-2960 | Map']",Ale Industries,0.0,0.0
195,"['28 Arroyo Seco', 'Cedar Crest, NM 87008 | Map']",Ale Republic,0.0,0.0
196,"['9300 271st St NW, Ste B-5', 'Stanwood, WA 98292 | Map']",Ale Spike,0.0,0.0
197,"['3304 N Knox Ave', 'Chicago, IL 60641-4434 | Map']",Aleman Brewing,0.0,0.0
198,"['21 N Loudoun St', 'Winchester, VA 22601-4715 | Map']",Alesatian Brewing Co.,0.0,0.0
199,"['1000 Conger St Ste C', 'Eugene, OR 97402-2950 | Map']",Alesong Brewing and Blending,0.0,0.0
200,"['1000 Conger Unit C', 'Eugene, OR 97402 | Map']",Alesong Brewing and Tasting Room,0.0,0.0
201,"['197 Ewell Rd', 'Williamsburg, VA 23188-2185 | Map']",Alewerks Brewing Company,0.0,0.0
202,"['514 51st Ave', 'Long Island City, NY 11101-5879 | Map']",Alewife Brewing Company,0.0,0.0
203,"['7926 Alexandria Pike Ste 1', 'Alexandria, KY 41001-1454 | Map']",Alexandria Brewing Company,0.0,0.0
204,"['204 E Enterprise St', 'Incline Village, NV 89451-9456 | Map']",Alibi Ale Works,0.0,0.0
205,"['6601 Uptown Blvd NE Ste B', 'Albuquerque, NM 87110-4207 | Map']",Alien Brewpub,0.0,0.0
206,"['8680 Miralani Dr', 'San Diego, CA 92126-6300 | Map']",Align Brewing Co,0.0,0.0
207,"['235 N Ashland Ave', 'Chicago, IL 60607-1401 | Map']",All Rise Brewing Co,0.0,0.0
208,"['1602 State Route 119', 'Greensburg, PA 15601-7317 | Map']",All Saints Brewing Co,0.0,0.0
209,"['5120 E La Palma Ave Ste 103', 'Anaheim, CA 92807-2082 | Map']",All-American Ale Works,0.0,0.0
210,"['507 Foreland St', 'Pittsburgh, PA 15212-4910 | Map']",Allegheny City Brewing,0.0,0.0
211,"['777 NE 4th St', 'McMinnville, OR 97128-4502 | Map']",Allegory Brewing,0.0,0.0
212,"['812 Hamilton St', 'Allentown, PA 18101-2437 | Map']",Allentown Brew Works,0.0,0.0
213,"['1130 Sevier Ave', 'Knoxville, TN 37920 | Map']",Alliance Brewing Company,0.0,0.0
214,"['10 SE 2nd Ave', 'Gainesville, FL 32601-6232 | Map']",Alligator Brewing / Tall Paul's Brewhouse,0.0,0.0
215,"['2700 Coon Rapids Blvd NW', 'Coon Rapids, MN 55433-3955 | Map']",Alloy Brewing Company,0.0,0.0
216,"['3715 W 190th St', 'Ames, IA 50014-9316 | Map']",Alluvial Brewing Company,0.0,0.0
217,"['208 E Superior St', 'Alma, MI 48801-1819 | Map']",Alma Brewing Co,0.0,0.0
218,"['651B W Tower Ave', 'Alameda, CA 94501-5047 | Map']",Almanac Beer Company,0.0,0.0
219,"['700 Queen St', 'Honolulu, HI 96813-5110 | Map']",Aloha Beer Co,0.0,0.0
220,"['692 Arrow Grand Cir', 'Covina, CA 91722-2122 | Map']",Alosta Brewing Co,0.0,0.0
221,"['121 Industrial Way Ste 12', 'Belmont, CA 94002-8208 | Map']",Alpha Acid Brewing Co,0.0,0.0
222,"['4310 Fyler Ave', 'Saint Louis, MO 63116 | Map']",Alpha Brewing Co.,0.0,0.0
223,"['6550 Mira Mesa Blvd', 'San Diego, CA 92121-4100 | Map']",Alpine Beer Company,0.0,0.0
224,"['821 14th Ave', 'Oroville, WA 98844 | Map']",Alpine Brewing Co,0.0,0.0
225,"['1505 N Ogden St', 'Denver, CO 80218-1405 | Map']",Alpine Dog Brewing Co,0.0,0.0
226,"['1808 Wright St', 'Madison, WI 53704-2522 | Map']",ALT Brew / Greenview Brewing LLC,0.0,0.0
227,"['1983 Julian Avenue', 'San Diego, CA 92113-1125 | Map']",Alta Brewing Company,0.0,0.0
228,"['2402 Research Dr', 'Livermore, CA 94550-3850 | Map']",Altamont Beer Works,0.0,0.0
229,"['2300 Wisconsin Ave Ste 213', 'Downers Grove, IL 60515-2234 | Map']",Alter Brewing Company,0.0,0.0
230,"['1539 S Broadway', 'Denver, CO 80210-2607 | Map']",Alternation Brewing Company,0.0,0.0
231,"['320 S 2nd St', 'Laramie, WY 82070-3612 | Map']",Altitude Chophouse and Brewery,0.0,0.0
232,"['15898 N Hwy 123', 'San Marcos, TX 78666-2418 | Map']",Altmeyer and Lewis Brewing Company,0.0,0.0
233,"['559 Main St Unit 105', 'Sturbridge, MA 01518-1208 | Map']",Altruist Brewing Company,0.0,0.0
234,"['6120 E US Highway 290', 'Fredericksburg, TX 78624-2176 | Map']",Altstadt Brewery,0.0,0.0
235,"['1315 Dayton St Ste E', 'Salinas, CA 93901-4400 | Map']",Alvarado Street Brewery,0.0,0.0
236,"['426 Alvarado St', 'Monterey, CA 93940-2711 | Map']",Alvarado Street Brewery & Grill,0.0,0.0
237,"['365 John Downey Dr Ste B', 'New Britain, CT 06051-2922 | Map']",Alvarium Beer Company,0.0,0.0
238,"['9659 Main St', 'Plymouth, CA 95669-9570 | Map']",Amador Brewing Company,0.0,0.0
239,"['1060 NE 25th Ave Ste B', 'Hillsboro, OR 97124-4903 | Map']",Ambacht Brewing,0.0,0.0
240,"['44 N Main St', 'Warsaw, NY 14569-1326 | Map']",Amber Lantern Brewing Company,0.0,0.0
241,"['318 Centre St', 'Fernandina Beach, FL 32034-4241 | Map']",Amelia Island Brewing Company,0.0,0.0
242,"['3408 Miller Rd', 'Kalamazoo, MI 49001-4111 | Map']",American Brewers Inc,0.0,0.0
243,"['180 W Dayton St Ste 102', 'Edmonds, WA 98020-4127 | Map']",American Brewing Company,0.0,0.0
244,"['18600 Haggerty Rd', 'Livonia, MI 48152-3932 | Map']",American Harvest Brewpub At Schoolcraft College,0.0,0.0
245,"['1133 19th Place', 'Vero Beach, FL 32960 | Map']",American Icon Brewery,0.0,0.0
246,"['1801 S 49th West Ave', 'Tulsa, OK 74107-2201 | Map']",American Solera,0.0,0.0
247,"['3200 Ameristar Dr', 'Kansas City, MO 64161 | Map']",Amerisports Brew Pub,0.0,0.0
248,"['10 University Dr', 'Amherst, MA 01002-2243 | Map']",Amherst Brewing Co / Hangar Pub and Grill,0.0,0.0
