"SITE_ID","YEAR","SEASON","DATEON","DATEOFF","SO2_CONC","SO4_CONC","NO3_CONC","HNO3_CONC","TNO3_CONC","NH4_CONC","CA_CONC","NA_CONC","MG_CONC","K_CONC","CL_CONC"
"YOS404","2014.0","FA","09/02/2014 09:00:00","12/02/2014 08:00:00","0.321","0.583","0.511","0.619","1.119","0.239","0.153","0.12","0.031","0.056","0.018"
"ROM406","2013.0","WI","12/04/2012 09:00:00","02/26/2013 08:00:00","0.176","0.255","0.2","0.162","0.359","0.144","0.037","0.024","0.005","0.008","0.02"
"GRS420","2018.0","WI","11/28/2017 09:00:00","02/27/2018 08:00:00","0.469","0.848","0.761","0.692","1.442","0.351","0.143","0.114","0.025","0.042","0.028"
"ROM206","2015.0","SP","03/03/2015 09:00:00","06/02/2015 08:00:00","0.214","0.43","0.239","0.346","0.58","0.157","0.132","0.034","0.02","0.02","0.015"
"GRS420","2017.0","SP","02/28/2017 09:00:00","05/30/2017 08:00:00","0.461","1.061","0.29","0.804","1.081","0.29","0.152","0.171","0.04","0.061","0.057"
"ROM206","2015.0","FA","09/01/2015 09:00:00","12/01/2015 08:00:00","0.29","0.33","0.148","0.289","0.433","0.152","0.084","0.018","0.011","0.017","0.013"
"GRC474","2014.0","SU","06/03/2014 09:00:00","09/02/2014 08:00:00","0.173","0.689","0.286","0.718","0.992","0.231","0.203","0.114","0.035","0.038","0.038"
"GRC474","2013.0","SU","06/04/2013 09:00:00","09/03/2013 08:00:00","0.217","0.919","0.253","0.744","0.985","0.315","0.198","0.106","0.034","0.047","0.046"
"YOS404","2016.0","SP","03/01/2016 09:00:00","05/31/2016 08:00:00","0.32","0.596","0.262","0.339","0.595","0.195","0.085","0.11","0.025","0.035","0.042"
"YOS404","2013.0","WI","12/04/2012 09:00:00","02/26/2013 08:00:00","0.114","0.159","0.163","0.182","0.342","0.091","0.027","0.022","0.005","0.01","0.015"
"GRS420","2016.0","SU","05/31/2016 09:00:00","08/30/2016 08:00:00","0.411","1.35","0.187","0.903","1.076","0.372","0.17","0.106","0.038","0.061","0.018"
"YOS404","2014.0","WI","12/03/2013 09:00:00","03/04/2014 08:00:00","0.135","0.207","0.237","0.313","0.545","0.129","0.043","0.03","0.007","0.017","0.015"
"ROM406","2016.0","SU","05/31/2016 09:00:00","08/30/2016 08:00:00","0.262","0.469","0.189","0.474","0.656","0.201","0.167","0.037","0.023","0.047","0.014"
"YEL408","2015.0","WI","12/02/2014 09:00:00","03/03/2015 08:00:00","1.161","0.203","0.07","0.113","0.182","0.088","0.018","0.01","0.004","0.006","0.015"
"GRC474","2013.0","FA","09/03/2013 09:00:00","12/03/2013 08:00:00","0.242","0.532","0.205","0.484","0.681","0.192","0.131","0.069","0.021","0.019","0.029"
"YOS404","2016.0","WI","12/01/2015 09:00:00","03/01/2016 08:00:00","0.143","0.123","0.057","0.108","0.164","0.042","0.027","0.028","0.006","0.011","0.024"
"ROM206","2018.0","WI","11/28/2017 09:00:00","02/27/2018 08:00:00","0.121","0.179","0.133","0.157","0.288","0.074","0.058","0.026","0.008","0.013","0.017"
"YEL408","2018.0","WI","11/28/2017 09:00:00","02/27/2018 08:00:00","0.613","0.145","0.107","0.084","0.189","0.068","0.022","0.012","0.004","0.01","0.014"
"GRS420","2018.0","SP","02/27/2018 09:00:00","05/29/2018 08:00:00","","","","","","","","","","",""
"YOS404","2017.0","SU","05/30/2017 09:00:00","08/29/2017 08:00:00","0.662","0.973","0.474","0.933","1.392","0.406","0.247","0.157","0.052","0.152","0.017"
"YOS404","2016.0","SU","05/31/2016 09:00:00","08/30/2016 08:00:00","0.797","0.774","0.326","0.851","1.163","0.329","0.147","0.128","0.036","0.083","0.03"
"GRC474","2016.0","WI","12/01/2015 09:00:00","03/01/2016 08:00:00","0.198","0.195","0.119","0.246","0.362","0.079","0.066","0.026","0.009","0.01","0.015"
"ROM406","2016.0","WI","12/01/2015 09:00:00","03/01/2016 08:00:00","","","","","","","","","","",""
"YEL408","2013.0","FA","09/03/2013 09:00:00","12/03/2013 08:00:00","0.488","0.413","0.147","0.136","0.282","0.184","0.068","0.017","0.011","0.018","0.014"
"YOS404","2018.0","SP","02/27/2018 09:00:00","05/29/2018 08:00:00","","","","","","","","","","",""
"GRC474","2015.0","FA","09/01/2015 09:00:00","12/01/2015 08:00:00","0.294","0.438","0.175","0.357","0.526","0.147","0.123","0.052","0.018","0.016","0.026"
"GRC474","2015.0","SP","03/03/2015 09:00:00","06/02/2015 08:00:00","0.247","0.567","0.318","0.364","0.676","0.19","0.25","0.109","0.04","0.034","0.036"
"ROM206","2017.0","SP","02/28/2017 09:00:00","05/30/2017 08:00:00","0.269","0.392","0.188","0.313","0.496","0.158","0.102","0.025","0.015","0.02","0.013"
"YEL408","2017.0","SU","05/30/2017 09:00:00","08/29/2017 08:00:00","0.626","0.391","0.084","0.214","0.294","0.202","0.105","0.019","0.017","0.059","0.014"
"GRS420","2013.0","SP","02/26/2013 09:00:00","06/04/2013 08:00:00","0.823","1.854","0.318","1.109","1.41","0.54","0.162","0.139","0.037","0.062","0.023"
"GRC474","2016.0","SU","05/31/2016 09:00:00","08/30/2016 08:00:00","0.254","0.721","0.321","0.594","0.906","0.236","0.239","0.134","0.038","0.051","0.054"
"ROM406","2018.0","WI","11/28/2017 09:00:00","02/27/2018 08:00:00","0.114","0.176","0.136","0.149","0.283","0.077","0.055","0.025","0.008","0.012","0.017"
"ROM206","2013.0","WI","12/04/2012 09:00:00","02/26/2013 08:00:00","0.161","0.244","0.183","0.161","0.342","0.135","0.035","0.022","0.005","0.008","0.02"
"GRS420","2014.0","FA","09/02/2014 09:00:00","12/02/2014 08:00:00","0.57","1.552","0.337","0.733","1.058","0.494","0.173","0.078","0.028","0.05","0.023"
"ROM206","2014.0","WI","12/03/2013 09:00:00","03/04/2014 08:00:00","0.149","0.254","0.121","0.18","0.298","0.125","0.027","0.016","0.004","0.008","0.014"
"GRS420","2016.0","SP","03/01/2016 09:00:00","05/31/2016 08:00:00","0.422","1.249","0.335","0.873","1.194","0.368","0.196","0.126","0.042","0.065","0.028"
"YEL408","2013.0","SU","06/04/2013 09:00:00","09/03/2013 08:00:00","0.589","0.427","0.135","0.234","0.366","0.202","0.15","0.031","0.023","0.05","0.018"
"GRC474","2014.0","FA","09/02/2014 09:00:00","12/02/2014 08:00:00","0.241","0.443","0.195","0.454","0.642","0.162","0.139","0.062","0.021","0.017","0.018"
"ROM206","2014.0","FA","09/02/2014 09:00:00","12/02/2014 08:00:00","0.215","0.378","0.128","0.303","0.426","0.15","0.084","0.02","0.011","0.015","0.013"
"YOS404","2013.0","SU","06/04/2013 09:00:00","09/03/2013 08:00:00","0.646","0.844","0.345","0.987","1.316","0.36","0.144","0.11","0.033","0.072","0.02"
"YEL408","2013.0","SP","02/26/2013 09:00:00","06/04/2013 08:00:00","0.761","0.538","0.19","0.134","0.322","0.192","0.123","0.032","0.02","0.021","0.02"
"ROM206","2014.0","SP","03/04/2014 09:00:00","06/03/2014 08:00:00","0.163","0.567","0.233","0.338","0.566","0.211","0.152","0.034","0.021","0.023","0.015"
"ROM206","2018.0","SP","02/27/2018 09:00:00","05/29/2018 08:00:00","","","","","","","","","","",""
"YEL408","2014.0","SU","06/03/2014 09:00:00","09/02/2014 08:00:00","0.54","0.328","0.078","0.165","0.241","0.147","0.084","0.023","0.013","0.035","0.014"
"YOS404","2016.0","FA","08/30/2016 09:00:00","11/29/2016 08:00:00","0.383","0.583","0.353","0.496","0.841","0.219","0.135","0.129","0.032","0.074","0.046"
"GRS420","2014.0","SP","03/04/2014 09:00:00","06/03/2014 08:00:00","0.863","1.83","0.347","1.133","1.463","0.541","0.205","0.132","0.041","0.07","0.021"
"GRS420","2017.0","WI","11/29/2016 09:00:00","02/28/2017 08:00:00","0.518","0.712","0.402","0.623","1.015","0.225","0.105","0.112","0.021","0.031","0.033"
"GRS420","2016.0","WI","12/01/2015 09:00:00","03/01/2016 08:00:00","0.523","0.9","0.476","0.703","1.168","0.342","0.097","0.095","0.019","0.032","0.047"
"ROM406","2015.0","SU","06/02/2015 09:00:00","09/01/2015 08:00:00","0.251","0.538","0.186","0.484","0.663","0.249","0.134","0.032","0.019","0.039","0.012"
"GRC474","2017.0","WI","11/29/2016 09:00:00","02/28/2017 08:00:00","0.307","0.226","0.179","0.25","0.424","0.086","0.054","0.033","0.009","0.011","0.014"
"YOS404","2013.0","FA","09/03/2013 09:00:00","12/03/2013 08:00:00","0.294","0.643","0.426","0.637","1.053","0.28","0.127","0.088","0.027","0.048","0.015"
"GRS420","2015.0","WI","12/02/2014 09:00:00","03/03/2015 08:00:00","0.947","1.137","0.461","0.935","1.381","0.438","0.095","0.05","0.015","0.029","0.022"
"ROM206","2013.0","FA","09/03/2013 09:00:00","12/03/2013 08:00:00","0.175","0.422","0.114","0.317","0.426","0.169","0.06","0.015","0.008","0.014","0.011"
"GRC474","2018.0","WI","11/28/2017 09:00:00","02/27/2018 08:00:00","0.232","0.219","0.17","0.313","0.478","0.08","0.151","0.05","0.02","0.021","0.035"
"ROM206","2015.0","SU","06/02/2015 09:00:00","09/01/2015 08:00:00","0.253","0.526","0.182","0.497","0.671","0.24","0.133","0.031","0.019","0.038","0.012"
"YOS404","2015.0","SP","03/03/2015 09:00:00","06/02/2015 08:00:00","0.494","0.761","0.399","0.497","0.889","0.254","0.123","0.126","0.032","0.041","0.017"
"GRC474","2014.0","WI","12/03/2013 09:00:00","03/04/2014 08:00:00","0.207","0.237","0.122","0.359","0.475","0.089","0.076","0.03","0.011","0.012","0.015"
"ROM206","2016.0","FA","08/30/2016 09:00:00","11/29/2016 08:00:00","0.224","0.334","0.139","0.289","0.423","0.137","0.095","0.018","0.012","0.018","0.012"
"ROM206","2015.0","WI","12/02/2014 09:00:00","03/03/2015 08:00:00","0.205","0.248","0.163","0.216","0.376","0.13","0.022","0.016","0.003","0.007","0.015"
"ROM206","2016.0","SP","03/01/2016 09:00:00","05/31/2016 08:00:00","0.155","0.325","0.178","0.299","0.473","0.126","0.086","0.023","0.012","0.013","0.014"
"GRC474","2015.0","SU","06/02/2015 09:00:00","09/01/2015 08:00:00","0.274","0.805","0.27","0.65","0.91","0.256","0.187","0.121","0.031","0.035","0.039"
"ROM206","2017.0","SU","05/30/2017 09:00:00","08/29/2017 08:00:00","0.156","0.503","0.173","0.466","0.631","0.226","0.143","0.025","0.02","0.047","0.012"
"ROM406","2013.0","FA","09/03/2013 09:00:00","12/03/2013 08:00:00","0.172","0.324","0.113","0.269","0.378","0.134","0.059","0.013","0.007","0.013","0.012"
"GRS420","2013.0","SU","06/04/2013 09:00:00","09/03/2013 08:00:00","0.381","2.293","0.077","0.88","0.942","0.649","0.142","0.075","0.03","0.065","0.018"
"ROM206","2013.0","SP","02/26/2013 09:00:00","06/04/2013 08:00:00","0.167","0.634","0.307","0.345","0.647","0.235","0.146","0.036","0.023","0.024","0.013"
"YEL408","2016.0","FA","08/30/2016 09:00:00","11/29/2016 08:00:00","0.374","0.276","0.092","0.129","0.219","0.112","0.078","0.021","0.01","0.02","0.013"
"GRS420","2013.0","FA","09/03/2013 09:00:00","12/03/2013 08:00:00","0.664","1.705","0.248","0.963","1.195","0.568","0.13","0.077","0.026","0.049","0.024"
"YEL408","2016.0","SP","03/01/2016 09:00:00","05/31/2016 08:00:00","0.668","0.271","0.103","0.124","0.225","0.11","0.063","0.014","0.01","0.012","0.012"
"ROM406","2018.0","SP","02/27/2018 09:00:00","05/29/2018 08:00:00","","","","","","","","","","",""
"GRS420","2017.0","FA","08/29/2017 09:00:00","11/28/2017 08:00:00","0.363","1.084","0.377","0.771","1.135","0.351","0.213","0.091","0.041","0.056","0.028"
"ROM206","2017.0","FA","08/29/2017 09:00:00","11/28/2017 08:00:00","0.15","0.31","0.145","0.294","0.434","0.143","0.098","0.022","0.013","0.028","0.013"
"ROM206","2016.0","WI","12/01/2015 09:00:00","03/01/2016 08:00:00","0.177","0.169","0.105","0.152","0.254","0.077","0.027","0.022","0.004","0.007","0.021"
"ROM406","2017.0","SP","02/28/2017 09:00:00","05/30/2017 08:00:00","0.271","0.388","0.183","0.309","0.487","0.155","0.099","0.024","0.015","0.019","0.013"
"GRS420","2014.0","WI","12/03/2013 09:00:00","03/04/2014 08:00:00","1.245","1.113","0.376","0.963","1.323","0.403","0.124","0.071","0.017","0.033","0.029"
"YOS404","2015.0","FA","09/01/2015 09:00:00","12/01/2015 08:00:00","0.453","0.514","0.497","0.66","1.147","0.231","0.14","0.113","0.03","0.066","0.037"
"GRC474","2016.0","SP","03/01/2016 09:00:00","05/31/2016 08:00:00","0.227","0.435","0.277","0.272","0.545","0.143","0.248","0.095","0.036","0.027","0.051"
"YEL408","2014.0","SP","03/04/2014 09:00:00","06/03/2014 08:00:00","0.843","0.52","0.184","0.159","0.341","0.189","0.123","0.027","0.019","0.022","0.015"
"YEL408","2013.0","WI","12/04/2012 09:00:00","02/26/2013 08:00:00","0.757","0.223","0.167","0.1","0.265","0.13","0.021","0.01","0.004","0.006","0.014"
"ROM206","2017.0","WI","11/29/2016 09:00:00","02/28/2017 08:00:00","0.241","0.19","0.104","0.208","0.309","0.084","0.032","0.017","0.005","0.009","0.014"
"GRC474","2017.0","FA","08/29/2017 09:00:00","11/28/2017 08:00:00","0.258","0.433","0.201","0.47","0.663","0.166","0.173","0.064","0.025","0.026","0.023"
"GRS420","2016.0","FA","08/30/2016 09:00:00","11/29/2016 08:00:00","0.659","1.285","0.565","0.963","1.512","0.506","0.262","0.109","0.046","0.062","0.028"
"ROM406","2014.0","SP","03/04/2014 09:00:00","06/03/2014 08:00:00","0.165","0.62","0.262","0.372","0.628","0.23","0.15","0.035","0.021","0.024","0.013"
"ROM406","2014.0","SU","06/03/2014 09:00:00","09/02/2014 08:00:00","0.155","0.545","0.19","0.49","0.673","0.221","0.168","0.031","0.022","0.043","0.014"
"YEL408","2016.0","SU","05/31/2016 09:00:00","08/30/2016 08:00:00","0.665","0.298","0.124","0.213","0.334","0.142","0.141","0.029","0.02","0.056","0.017"
"ROM406","2014.0","FA","09/02/2014 09:00:00","12/02/2014 08:00:00","0.2","0.38","0.126","0.296","0.417","0.147","0.083","0.02","0.011","0.015","0.012"
"YEL408","2015.0","SU","06/02/2015 09:00:00","09/01/2015 08:00:00","0.538","0.403","0.119","0.233","0.348","0.204","0.109","0.029","0.017","0.046","0.014"
"YOS404","2017.0","WI","11/29/2016 09:00:00","02/28/2017 08:00:00","0.243","0.121","0.057","0.124","0.179","0.044","0.027","0.023","0.006","0.016","0.024"
"YOS404","2014.0","SU","06/03/2014 09:00:00","09/02/2014 08:00:00","0.677","0.919","0.43","0.954","1.369","0.375","0.18","0.155","0.043","0.072","0.042"
"YOS404","2015.0","WI","12/02/2014 09:00:00","03/03/2015 08:00:00","0.244","0.218","0.135","0.197","0.328","0.093","0.03","0.035","0.006","0.013","0.023"
"GRC474","2015.0","WI","12/02/2014 09:00:00","03/03/2015 08:00:00","0.241","0.29","0.094","0.337","0.426","0.1","0.06","0.02","0.008","0.009","0.016"
"GRC474","2016.0","FA","08/30/2016 09:00:00","11/29/2016 08:00:00","0.287","0.459","0.217","0.389","0.601","0.169","0.173","0.07","0.023","0.023","0.034"
"YEL408","2014.0","WI","12/03/2013 09:00:00","03/04/2014 08:00:00","0.565","0.242","0.207","0.093","0.299","0.148","0.023","0.011","0.003","0.007","0.015"
"YEL408","2017.0","WI","11/29/2016 09:00:00","02/28/2017 08:00:00","0.697","0.169","0.111","0.088","0.198","0.086","0.013","0.01","0.003","0.006","0.013"
"YEL408","2017.0","SP","02/28/2017 09:00:00","05/30/2017 08:00:00","0.686","0.359","0.145","0.149","0.292","0.145","0.09","0.016","0.014","0.018","0.015"
"GRS420","2014.0","SU","06/03/2014 09:00:00","09/02/2014 08:00:00","0.387","2.341","0.142","0.917","1.044","0.616","0.199","0.094","0.04","0.071","0.017"
"GRC474","2017.0","SP","02/28/2017 09:00:00","05/30/2017 08:00:00","0.294","0.473","0.209","0.289","0.494","0.154","0.193","0.076","0.031","0.028","0.048"
"ROM406","2016.0","FA","08/30/2016 09:00:00","11/29/2016 08:00:00","0.24","0.341","0.128","0.294","0.417","0.136","0.096","0.018","0.012","0.019","0.013"
"ROM206","2014.0","SU","06/03/2014 09:00:00","09/02/2014 08:00:00","0.156","0.53","0.186","0.487","0.665","0.213","0.16","0.029","0.021","0.041","0.013"
"ROM406","2013.0","SP","02/26/2013 09:00:00","06/04/2013 08:00:00","0.176","0.657","0.341","0.348","0.684","0.251","0.146","0.036","0.024","0.024","0.014"
"ROM206","2016.0","SU","05/31/2016 09:00:00","08/30/2016 08:00:00","0.259","0.482","0.187","0.504","0.682","0.205","0.167","0.037","0.023","0.046","0.014"
"ROM406","2013.0","SU","06/04/2013 09:00:00","09/03/2013 08:00:00","0.223","0.667","0.205","0.584","0.78","0.269","0.164","0.035","0.022","0.045","0.014"
"ROM406","2015.0","SP","03/03/2015 09:00:00","06/02/2015 08:00:00","0.235","0.434","0.222","0.343","0.56","0.159","0.13","0.04","0.019","0.021","0.019"
"GRS420","2017.0","SU","05/30/2017 09:00:00","08/29/2017 08:00:00","0.261","1.267","0.136","0.788","0.912","0.367","0.173","0.063","0.033","0.062","0.016"
